LGU,Year,Dengue Cases,Population,Land Area,Population Density,Incidence Rate,Previous Year Incidence,YoY % Change,Five-Year Average Incidence,Status
Pasig,2025,3644,865522.75,48.46,17860.560255881137,421.01724073688416,353.78934411816425,19.002238969714718,299.88467580550787,extrapolated
Pateros,2021,77,65750.0,10.4,6322.115384615385,117.11026615969584,,,438.6489449263481,interpolated
Pateros,2022,412,66273.0,10.4,6372.403846153846,621.6709670604922,117.11026615969584,430.8424166782774,438.6489449263481,interpolated
Pateros,2023,249,66796.0,10.4,6422.692307692308,372.7768129828133,621.6709670604922,-40.036316197063144,438.6489449263481,interpolated
Pateros,2024,494,67319.0,10.4,6472.980769230769,733.8195754541808,372.7768129828133,96.8522584820782,438.6489449263481,official
Pateros,2025,236,67842.0,10.4,6523.269230769231,347.8671029745585,733.8195754541808,-52.595009098898174,438.6489449263481,extrapolated
Quezon City,2021,1647,2991103.5,171.71,17419.5067264574,55.06329018704969,,,229.72844717677282,interpolated
Quezon City,2022,8214,3022159.0,171.71,17600.366897676315,271.7924503641271,55.06329018704969,393.60009080614265,229.72844717677282,interpolated
Quezon City,2023,4766,3053214.5,171.71,17781.22706889523,156.09777825960148,271.7924503641271,-42.56728689466046,229.72844717677282,interpolated
Quezon City,2024,9571,3084270.0,171.71,17962.087240114146,310.3165416776093,156.09777825960148,98.79625779268379,229.72844717677282,official
Quezon City,2025,11071,3115325.5,171.71,18142.94741133306,355.37217539547635,310.3165416776093,14.519249755198608,229.72844717677282,extrapolated
San Juan,2021,133,128338.25,5.95,21569.45378151261,103.63239330441236,,,212.96102150608135,interpolated
San Juan,2022,359,130329.5,5.95,21904.11764705882,275.4556719698917,103.63239330441236,165.8007435578192,212.96102150608135,interpolated
San Juan,2023,170,132320.75,5.95,22238.78151260504,128.4756925878972,275.4556719698917,-53.35885020296838,212.96102150608135,interpolated
San Juan,2024,441,134312.0,5.95,22573.44537815126,328.33998451366966,128.4756925878972,155.56584121080678,212.96102150608135,official
San Juan,2025,312,136303.25,5.95,22908.10924369748,228.9013651545359,328.33998451366966,-30.28526041579132,212.96102150608135,extrapolated
Taguig,2021,1289,992062.75,45.21,21943.43618668436,129.9312971886103,,,247.15204583214776,interpolated
Taguig,2022,5125,1097403.5,45.21,24273.468259234684,467.0114502095173,129.9312971886103,259.42952953944285,247.15204583214776,interpolated
Taguig,2023,2682,1202744.25,45.21,26603.500331785,222.9900496302518,467.0114502095173,-52.25169542840741,247.15204583214776,interpolated
Taguig,2024,2737,1308085.0,45.21,28933.532404335325,209.2371673094638,222.9900496302518,-6.167486999349146,247.15204583214776,official
Taguig,2025,2920,1413425.75,45.21,31263.564476885644,206.5902648228957,209.2371673094638,-1.265025005167134,247.15204583214776,extrapolated
Valenzuela,2021,1088,717526.75,47.02,15260.032964695873,151.6319774837663,,,300.87053903144647,interpolated
Valenzuela,2022,4504,720075.5,47.02,15314.238621863036,625.4899659827337,151.6319774837663,312.50531475110427,300.87053903144647,interpolated
Valenzuela,2023,1692,722624.25,47.02,15368.444279030198,234.1465844801085,625.4899659827337,-62.565892785789,300.87053903144647,interpolated
Valenzuela,2024,1787,725173.0,47.02,15422.649936197362,246.42395676617855,234.1465844801085,5.243455638411444,300.87053903144647,official
Valenzuela,2025,1795,727721.75,47.02,15476.855593364524,246.66021044444528,246.42395676617855,0.09587285317835641,300.87053903144647,extrapolated
